capability_id,capability,domain,description,status,normative_refs,source_refs,prerequisites,dependents,corpus_direct,corpus_indirect,unlock_basis,affected_rules,risk,priority,proposed_wave,blocked_by_normative,notes
CAP-ACTION-001,Modelo tipado de acciones y comandos,action,"Acciones de juego tipadas con actor, versión esperada y parámetros persistibles.",SUPPORTED,N-TOKEN-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",,CAP-ACTION-002;CAP-ACTION-003;CAP-COST-001;CAP-ZONE-001;CAP-TIME-003;CAP-STATE-001;CAP-EFFECT-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,infraestructura transversal verificada; no es un conteo de cartas,texto particular; comandos generales,MEDIUM,P1,W2,NO,Recorrido comprobado: modelo → comando → validación → resolución → replay → proyección → pruebas.
CAP-ACTION-002,Enumeración y revalidación de acciones legales,action,Paridad entre acciones/opciones ofrecidas y validación autoritativa al ejecutar.,SUPPORTED,N-PHASE-08;N-COMBAT-01,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ACTION-001,CAP-SECRET-002;CAP-TARGET-001;CAP-TIME-003;CAP-TIME-004,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,infraestructura transversal verificada; desbloqueo indirecto,prioridad; fases; combate,HIGH,P0,W0,NO,Las opciones opacas evitan filtrar información privada; CAS y versión se revalidan.
CAP-ACTION-003,"Transacción, rollback y determinismo",action,"Aplicación atómica con RNG/orden estable, checksum, snapshot y replay.",SUPPORTED,N-COST-02;N-PHASE-09,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ACTION-001,CAP-COST-002;CAP-ZONE-002;CAP-ZONE-003;CAP-STACK-001;CAP-SEARCH-002;CAP-TRANSMUTE-001;CAP-EFFECT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,infraestructura transversal verificada; prerequisite,pagos; movimientos; pila,CRITICAL,P0,W0,NO,"Soporte transversal, no prueba por sí mismo semántica completa de una carta."
CAP-COST-001,Modelo declarativo de costes,cost,"Representa Pasos, giro, sacrificio, Fuerza, Heridas, descarte y molienda.",SUPPORTED,N-COST-01;N-COST-02;N-COST-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ACTION-001,CAP-COST-002;CAP-COST-003;CAP-COST-004,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector costes= de las 431 entradas; sin agregado publicado,coste impreso; equipar,MEDIUM,P1,W2,NO,
CAP-COST-002,"Preflight, determinación y pago atómico",cost,"Determina y congela el coste, valida todos los componentes, paga como unidad y sólo después resuelve.",SUPPORTED,N-COST-01;N-COST-02,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ACTION-003;CAP-COST-001,CAP-COST-003;CAP-COST-004;CAP-COST-005;CAP-STACK-001;CAP-ATTACH-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,infraestructura transversal y pruebas de rollback; prerequisite,costes; pago previo,CRITICAL,P0,W0,NO,"El enum o resolutor aislado no bastó: incluye opciones legales, persistencia/replay y proyección."
CAP-COST-003,Costes adicionales y compuestos,cost,Combina simultáneamente componentes heterogéneos y conserva la causa de los movimientos.,SUPPORTED,N-COST-02;N-TOKEN-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-COST-001;CAP-COST-002,CAP-EFFECT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector costes adicionales en §4; conteo exacto no agregado,sacrificio; descarte; giro; Fuerza; Heridas,HIGH,P0,W1,NO,
CAP-COST-004,Costes alternativos,cost,Elige exactamente una alternativa sin sumarla al coste normal.,SUPPORTED,N-COST-02;N-TOKEN-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-COST-001;CAP-COST-002,CAP-SECRET-002,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector alternativas del corpus; conteo exacto no agregado,costes alternativos,MEDIUM,P1,W2,NO,
CAP-COST-005,Costes dinámicos,cost,Calcula métricas declaradas al anunciar y congela el resultado en la pila.,SUPPORTED,N-COST-01;N-TOKEN-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-COST-002,CAP-COST-006;CAP-EFFECT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector cantidades variables del corpus; conteo exacto no agregado,cantidades dinámicas,MEDIUM,P1,W2,NO,
CAP-COST-006,Costes y escala X,cost,Valida X entero y límites; escala un componente de coste y efectos declarados.,SUPPORTED,N-COST-01;N-TOKEN-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-COST-005,CAP-EFFECT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector X en descomposición mecánica; conteo exacto no agregado,X,MEDIUM,P1,W2,NO,
CAP-ZONE-001,Ownership y control,zone,"Propietario inmutable, controlador mutable y destinos personales por propietario.",SUPPORTED,N-ZONE-02;N-TRANSMUTATION-01,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ACTION-001,CAP-ZONE-002;CAP-EFFECT-006,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,infraestructura transversal; impacto indirecto,control; cambio de control; destinos,MEDIUM,P1,W2,NO,
