pdf,pagina_fisica,pagina_logica,seccion,numero_carta_token,clase_contenido,extracto_fuente_breve
Fantasy Tokens.pdf,1,UNKNOWN,Portada,PAGE,material editorial,"Fantasy Tokens Sistema de Cartas Temáticas Juego de Cartas Temáticas sobre Fantasía, Mitología y Épica clásicas, así como de magia, esoterismo y criaturas fantásticas Erick Zanussem 15/04"
Fantasy Tokens.pdf,2,2,Índice / Reglas básicas,PAGE,material editorial / reglas generales,Índice REGLAS BÁSICAS (FT1) ................................................................................................................... 2 FANTASY TOKENS: EDICION ALPHA (FT 2) ..............
Fantasy Tokens.pdf,3,3,"Reglas básicas: objetivo, barajas, pasos, transmutación y turnos",PAGE,reglas generales,"problemas a un peligroso rival… se bajan con ""pasos"", o transmutando tokens de criatura. - Tokens de Recurso Rápido. Más baratas y menos sorprendentes que los tokens de evento, son el apoyo ideal"
Fantasy Tokens.pdf,4,4,Reglas básicas: fases del turno,PAGE,reglas generales,"siempre con Tokens de Criatura. Ahora, es el turno del oponente, en el que puede hacer lo mismo, pero el primer jugador ya dispone de ""bichos"" con los que ""bloquear"" a su adversario, y así hacer fre"
Fantasy Tokens.pdf,5,5,Fase legendaria / anatomía / reglas enumeradas,PAGE,reglas generales / reglas de formato,"- Fase Legendaria. De haber un token o naipe legendario en el tablero de juego (algo bastante probable en los últimos turnos de una partida), este se activa al final del todo en una fase adicional p"
Fantasy Tokens.pdf,6,6,Reglas enumeradas 3–9,PAGE,reglas generales,"lanzándose unas monedas o decidiendo de forma aleatoria quien comienza la ronda. Si alguien roba mas cartas de las que debe, las pondrá en el mazo, mezclara de nuevo este y robara de nuevo, pero est"
Fantasy Tokens.pdf,7,7,Reglas enumeradas 10–18,PAGE,reglas generales,"jugador pasivo puede responder o transmutar en resolución final. Después de esto, el primer jugador pasa a la Fase Pasiva, y el segundo jugador pasa a su Fase Activa. 10. En su Fase Pasiva, el juga"
Fantasy Tokens.pdf,8,8,Reglas enumeradas 18–21 / introducción Alpha,PAGE,reglas generales / políticas de torneo / material editorial,"derrotado, aunque puede jugar en ese instante Recursos Rápidos (o transmutarlos) para apilar efectos e impedirlo, aguantando así hasta el siguiente turno. Si una carta impide con sus efectos que el"
Fantasy Tokens.pdf,9,9,Edición Alpha: corpus de cartas,PAGE,texto de cartas,2. Goblin Primigenio. Edición Alpha. Coste/Fuerza: 1. Tipo: Token de Criatura. Habilidades: el Goblin Primigenio no puede ser trasmutado. Paga X pasos: sube X la Fuerza del Goblin Primigenio. Su cos
Fantasy Tokens.pdf,10,10,Edición Alpha: corpus de cartas,PAGE,texto de cartas,"15. El Fuego. Edición Alpha. Coste/Fuerza: 5. Tipo: Token de Evento. Efectos: cuando este naipe salga a juego, todas las criaturas bajo tu control ganan +1 a su Fuerza cuando son bloqueadas, aunque"
Fantasy Tokens.pdf,11,11,Edición Alpha: corpus de cartas,PAGE,texto de cartas,"28. Libélula Primigenia. Edición Alpha. Coste/Fuerza: 6. Tipo: Token de Criatura. Habilidades: la Libélula Primigenia ataca 2 veces en cada turno, y tiene la habilidad de Vuelo. 29. Sabio Homínido"
